,0,EVAL MID YIELD,COMPOSITE LIQUIDITY SCORE (T-1),COUPON FREQUENCY,NEXT COUPON RATE,REMAINING_TENURE_INT,ASSET-BACKED SECURITIES,CONSTRUCTION AND ENGINEERING,DIVERSIFIED HOLDINGS,FINANCIAL SERVICES,INDUSTRIAL PRODUCTS,INFRASTRUCTURES AND UTILITIES,MINING & PETROLEUM,PLANTATION AND AGRICULTURE,PROPERTY AND REAL ESTATE,PUBLIC FINANCE,TRADING & SERVICES
279,21,3.592,0.0,2,6.15,24,0,0,0,0,0,0,0,0,0,0,1
280,21,3.374,0.0,2,6.15,24,0,0,0,0,0,0,0,0,0,0,1
281,21,3.599,0.0,2,6.15,24,0,0,0,0,0,0,0,0,0,0,1
282,21,3.31,0.0,2,6.15,24,0,0,0,0,0,0,0,0,0,0,1
283,21,3.098,0.0,2,6.15,24,0,0,0,0,0,0,0,0,0,0,1
284,21,3.114,0.0,2,6.15,24,0,0,0,0,0,0,0,0,0,0,1
285,21,2.816,0.0,2,6.15,24,0,0,0,0,0,0,0,0,0,0,1
286,21,2.703,0.0,2,6.15,24,0,0,0,0,0,0,0,0,0,0,1
287,21,2.731,0.0,2,6.15,24,0,0,0,0,0,0,0,0,0,0,1
288,21,2.631,0.0,2,6.15,24,0,0,0,0,0,0,0,0,0,0,1
289,22,4.215,2.0,2,5.96,120,0,1,0,0,0,0,0,0,0,0,0
290,22,3.997,2.0,2,5.96,120,0,1,0,0,0,0,0,0,0,0,0
291,22,4.075,2.0,2,5.96,120,0,1,0,0,0,0,0,0,0,0,0
